"geoid","msa","name","pop","pop_child","pop_inst","house","house_fam","house_fam_child","house_child","house_senior","house_size","house_fam_size","units","units_occ","units_vac","units_vac_rent","units_sale","units_sold","units_vac_vacation","units_vac_other","units_occ_own","units_occ_own_pop","units_occ_own_size","units_occ_rent","units_occ_rent_pop","units_occ_rent_size"
"310M100US23700",23700,"Gallup, NM  Micro Area",71492,25739,351,21968,16219,7691,10149,5265,3.22,3.82,25813,21968,3845,481,84,29,1252,1936,15722,51420,3.27,6246,19292,3.09
"310M100US23780",23780,"Garden City, KS  Micro Area",36776,12889,231,12359,8903,4939,5429,2248,2.93,3.47,13276,12359,917,414,92,24,52,324,7894,24415,3.09,4465,11813,2.65
"310M100US23820",23820,"Gardnerville Ranchos, NV  Micro Area",46997,11234,202,19638,13519,4714,5245,6746,2.38,2.8,23671,19638,4033,790,403,78,2303,430,14105,33106,2.35,5533,13661,2.47
"310M100US23860",23860,"Georgetown, SC  Micro Area",60158,15663,441,24524,17282,5898,7144,8518,2.43,2.89,33672,24524,9148,1985,604,114,5112,1265,19077,45875,2.4,5447,13724,2.52
"310M100US23900",23900,"Gettysburg, PA  Micro Area",101407,27321,1330,38013,27594,10855,12100,10738,2.56,2.97,40820,38013,2807,526,546,101,729,868,29368,76495,2.6,8645,20919,2.42
"310M100US23940",23940,"Gillette, WY  Micro Area",46133,14077,260,17172,11933,6167,6702,1904,2.66,3.11,18955,17172,1783,689,264,51,354,383,12595,34573,2.74,4577,11138,2.43
"310M100US23980",23980,"Glasgow, KY  Micro Area",52272,14351,767,21054,14515,6094,6905,5754,2.44,2.94,23869,21054,2815,737,307,136,596,997,14618,36171,2.47,6436,15278,2.37
"310M100US24020",24020,"Glens Falls, NY  Metro Area",128923,33324,3494,52132,34012,13547,15025,14942,2.4,2.89,67570,52132,15438,1302,874,223,11461,1507,37111,92590,2.49,15021,32431,2.16
"310M100US24100",24100,"Gloversville, NY  Micro Area",55531,14703,1003,22554,14432,6013,6800,6355,2.4,2.89,28562,22554,6008,522,359,142,3907,1028,16001,39270,2.45,6553,14787,2.26
"310M100US24140",24140,"Goldsboro, NC  Metro Area",122623,35721,1936,47831,32651,14452,16631,12012,2.5,3.03,52949,47831,5118,1868,684,145,194,2167,29828,74956,2.51,18003,44448,2.47
"310M100US24180",24180,"Granbury, TX  Micro Area",59672,14941,829,23873,17224,6110,6987,8232,2.46,2.88,28625,23873,4752,1046,617,123,1869,1055,18561,45842,2.47,5312,12842,2.42
